model,seed,label,class_name,image_count,source_group_count,accuracy
UNI,11,7,08_EMPTY,625,2,0.6416
UNI,23,0,01_TUMOR,625,10,0.9648
UNI,23,1,02_STROMA,625,10,0.7376
UNI,23,2,03_COMPLEX,625,10,0.76
UNI,23,3,04_LYMPHO,625,10,0.8592
UNI,23,4,05_DEBRIS,625,10,0.608
UNI,23,5,06_MUCOSA,625,8,0.992
UNI,23,6,07_ADIPOSE,625,6,0.9824
UNI,23,7,08_EMPTY,625,2,0.8032
UNI,41,0,01_TUMOR,625,10,0.96
UNI,41,1,02_STROMA,625,10,0.736
UNI,41,2,03_COMPLEX,625,10,0.7328
UNI,41,3,04_LYMPHO,625,10,0.8832
UNI,41,4,05_DEBRIS,625,10,0.6
UNI,41,5,06_MUCOSA,625,8,0.9952
UNI,41,6,07_ADIPOSE,625,6,0.9856
UNI,41,7,08_EMPTY,625,2,0.864
UNI,57,0,01_TUMOR,625,10,0.9648
UNI,57,1,02_STROMA,625,10,0.7216
UNI,57,2,03_COMPLEX,625,10,0.7488
UNI,57,3,04_LYMPHO,625,10,0.8608
UNI,57,4,05_DEBRIS,625,10,0.608
UNI,57,5,06_MUCOSA,625,8,0.992
UNI,57,6,07_ADIPOSE,625,6,0.9824
UNI,57,7,08_EMPTY,625,2,0.704
UNI,73,0,01_TUMOR,625,10,0.9664
UNI,73,1,02_STROMA,625,10,0.728
UNI,73,2,03_COMPLEX,625,10,0.736
UNI,73,3,04_LYMPHO,625,10,0.8752
UNI,73,4,05_DEBRIS,625,10,0.6032
UNI,73,5,06_MUCOSA,625,8,0.9952
UNI,73,6,07_ADIPOSE,625,6,0.984
UNI,73,7,08_EMPTY,625,2,0.4896
UNI,89,0,01_TUMOR,625,10,0.9632
UNI,89,1,02_STROMA,625,10,0.7104
UNI,89,2,03_COMPLEX,625,10,0.7264
UNI,89,3,04_LYMPHO,625,10,0.8768
UNI,89,4,05_DEBRIS,625,10,0.6064
UNI,89,5,06_MUCOSA,625,8,0.9904
UNI,89,6,07_ADIPOSE,625,6,0.984
UNI,89,7,08_EMPTY,625,2,0.4496
UNI,101,0,01_TUMOR,625,10,0.9664
UNI,101,1,02_STROMA,625,10,0.76
UNI,101,2,03_COMPLEX,625,10,0.752
UNI,101,3,04_LYMPHO,625,10,0.864
UNI,101,4,05_DEBRIS,625,10,0.5936
UNI,101,5,06_MUCOSA,625,8,0.9936
UNI,101,6,07_ADIPOSE,625,6,0.9808
UNI,101,7,08_EMPTY,625,2,0.4144
UNI,131,0,01_TUMOR,625,10,0.9616
UNI,131,1,02_STROMA,625,10,0.728
UNI,131,2,03_COMPLEX,625,10,0.7728
UNI,131,3,04_LYMPHO,625,10,0.8896
UNI,131,4,05_DEBRIS,625,10,0.6048
UNI,131,5,06_MUCOSA,625,8,0.9952
UNI,131,6,07_ADIPOSE,625,6,0.9872
UNI,131,7,08_EMPTY,625,2,0.7472
UNI,151,0,01_TUMOR,625,10,0.9616
UNI,151,1,02_STROMA,625,10,0.7152
UNI,151,2,03_COMPLEX,625,10,0.7696
UNI,151,3,04_LYMPHO,625,10,0.8736
UNI,151,4,05_DEBRIS,625,10,0.5984
UNI,151,5,06_MUCOSA,625,8,0.9936
UNI,151,6,07_ADIPOSE,625,6,0.9872
UNI,151,7,08_EMPTY,625,2,0.632
UNI,181,0,01_TUMOR,625,10,0.9664
UNI,181,1,02_STROMA,625,10,0.7616
UNI,181,2,03_COMPLEX,625,10,0.76
UNI,181,3,04_LYMPHO,625,10,0.8816
UNI,181,4,05_DEBRIS,625,10,0.6048
UNI,181,5,06_MUCOSA,625,8,0.9952
UNI,181,6,07_ADIPOSE,625,6,0.9856
UNI,181,7,08_EMPTY,625,2,0.5984
