dataset,model,seed,fold,strategy,steps,tied_steps,archive_mismatches,affected_targets
kather,ResNet18,11,8,top,161,0,0,0
kather,ResNet18,11,9,bottom,315,0,0,0
kather,ResNet18,11,9,random,315,0,0,0
kather,ResNet18,11,9,top,315,0,0,0
kather,ResNet18,181,0,bottom,154,0,0,0
kather,ResNet18,181,0,random,154,0,0,0
kather,ResNet18,181,0,top,154,0,0,0
kather,ResNet18,181,1,bottom,84,0,0,0
kather,ResNet18,181,1,random,84,0,0,0
kather,ResNet18,181,1,top,84,0,0,0
kather,ResNet18,181,2,bottom,182,0,0,0
kather,ResNet18,181,2,random,182,0,0,0
kather,ResNet18,181,2,top,182,0,0,0
kather,ResNet18,181,3,bottom,154,0,0,0
kather,ResNet18,181,3,random,154,0,0,0
kather,ResNet18,181,3,top,154,0,0,0
kather,ResNet18,181,4,bottom,245,3,3,1
kather,ResNet18,181,4,random,245,0,0,0
kather,ResNet18,181,4,top,245,0,0,0
kather,ResNet18,181,5,bottom,343,0,0,0
kather,ResNet18,181,5,random,343,0,0,0
kather,ResNet18,181,5,top,343,0,0,0
kather,ResNet18,181,6,bottom,175,0,0,0
kather,ResNet18,181,6,random,175,0,0,0
kather,ResNet18,181,6,top,175,0,0,0
kather,ResNet18,181,7,bottom,133,0,0,0
kather,ResNet18,181,7,random,133,0,0,0
kather,ResNet18,181,7,top,133,0,0,0
kather,ResNet18,181,8,bottom,147,2,2,1
kather,ResNet18,181,8,random,147,0,0,0
kather,ResNet18,181,8,top,147,0,0,0
kather,ResNet18,181,9,bottom,343,0,0,0
kather,ResNet18,181,9,random,343,0,0,0
kather,ResNet18,181,9,top,343,0,0,0
kather,ResNet18,89,0,bottom,147,0,0,0
kather,ResNet18,89,0,random,147,0,0,0
kather,ResNet18,89,0,top,147,0,0,0
kather,ResNet18,89,1,bottom,91,0,0,0
kather,ResNet18,89,1,random,91,0,0,0
kather,ResNet18,89,1,top,91,0,0,0
kather,ResNet18,89,2,bottom,175,1,1,1
kather,ResNet18,89,2,random,175,0,0,0
kather,ResNet18,89,2,top,175,1,1,1
kather,ResNet18,89,3,bottom,154,0,0,0
kather,ResNet18,89,3,random,154,0,0,0
kather,ResNet18,89,3,top,154,0,0,0
kather,ResNet18,89,4,bottom,245,1,1,1
kather,ResNet18,89,4,random,245,0,0,0
kather,ResNet18,89,4,top,245,0,0,0
kather,ResNet18,89,5,bottom,294,0,0,0
kather,ResNet18,89,5,random,294,0,0,0
kather,ResNet18,89,5,top,294,0,0,0
kather,ResNet18,89,6,bottom,161,0,0,0
kather,ResNet18,89,6,random,161,0,0,0
kather,ResNet18,89,6,top,161,0,0,0
kather,ResNet18,89,7,bottom,133,0,0,0
kather,ResNet18,89,7,random,133,0,0,0
kather,ResNet18,89,7,top,133,0,0,0
kather,ResNet18,89,8,bottom,147,0,0,0
kather,ResNet18,89,8,random,147,0,0,0
kather,ResNet18,89,8,top,147,0,0,0
kather,ResNet18,89,9,bottom,336,0,0,0
kather,ResNet18,89,9,random,336,0,0,0
kather,ResNet18,89,9,top,336,0,0,0
kather,UNI,11,0,bottom,140,0,0,0
kather,UNI,11,0,random,140,0,0,0
kather,UNI,11,0,top,140,0,0,0
kather,UNI,11,1,bottom,91,0,0,0
kather,UNI,11,1,random,91,0,0,0
kather,UNI,11,1,top,91,0,0,0
kather,UNI,11,2,bottom,168,0,0,0
kather,UNI,11,2,random,168,0,0,0
kather,UNI,11,2,top,168,0,0,0
kather,UNI,11,3,bottom,154,0,0,0
kather,UNI,11,3,random,154,0,0,0
